title,vote_average,genres,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,Foreign,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western
Toy Story,1.1748322445173114,"Animation, Comedy, Family",0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Jumanji,0.5781299426864125,"Adventure, Fantasy, Family",0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Grumpier Old Men,0.27977879177096265,"Romance, Comedy",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Waiting to Exhale,-0.018572359144487172,"Comedy, Drama, Romance",0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Father of the Bride Part II,-0.31692351005993635,Comedy,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Heat,1.1748322445173114,"Action, Crime, Drama, Thriller",1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Sabrina,0.056015428584375616,"Comedy, Romance",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Tom and Huck,-0.5406868732465234,"Action, Adventure, Drama, Family",1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Sudden Death,-0.46609908551766127,"Action, Adventure, Thriller",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
GoldenEye,0.35436657949982475,"Adventure, Action, Thriller",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
The American President,0.27977879177096265,"Comedy, Drama, Romance",0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Dracula: Dead and Loving It,-0.31692351005993635,"Comedy, Horror",0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Balto,0.7273055181441367,"Family, Animation, Adventure",0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Nixon,0.7273055181441367,"History, Drama",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Cutthroat Island,-0.31692351005993635,"Action, Adventure",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Casino,1.2494200322461735,"Drama, Crime",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Sense and Sensibility,0.8018933058729996,"Drama, Romance",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Four Rooms,0.27977879177096265,"Crime, Comedy",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ace Ventura: When Nature Calls,-0.018572359144487172,"Crime, Comedy, Adventure",0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Money Train,-0.5406868732465234,"Action, Comedy, Crime",1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Get Shorty,0.20519100404210053,"Comedy, Thriller, Crime",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Copycat,0.27977879177096265,"Drama, Thriller",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Assassins,-0.0931601468733493,"Action, Adventure, Crime, Thriller",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Powder,0.13060321631323774,"Drama, Fantasy, Science Fiction, Thriller",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0
Leaving Las Vegas,0.7273055181441367,"Drama, Romance",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Othello,0.6527177304152746,Drama,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Now and Then,0.35436657949982475,"Comedy, Drama, Family",0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Persuasion,0.9510688813307244,"Drama, Romance",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
The City of Lost Children,1.1002444567884486,"Fantasy, Science Fiction, Adventure",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
Shanghai Triad,0.27977879177096265,"Drama, Crime",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Dangerous Minds,0.20519100404210053,"Drama, Crime",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Twelve Monkeys,0.9510688813307244,"Science Fiction, Thriller, Mystery",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
Wings of Courage,0.5035421549575497,"Romance, Adventure",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
